Country,Obesity Rate,Male Obesity Rate,Female Obesity Rate,average_price,item_name
French Polynesia,48.4,46.7,50.2,7.58,"Eggs (12, Large Size), Markets"
French Polynesia,48.4,46.7,50.2,39.03,"Local Cheese (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,1.25,"Bottled Water (1.5 Liter), Markets"
French Polynesia,48.4,46.7,50.2,24.4,"Bottle of Wine (Mid-Range), Markets"
French Polynesia,48.4,46.7,50.2,2.88,"Domestic Beer (0.5 Liter Bottle), Markets"
French Polynesia,48.4,46.7,50.2,4.72,"Imported Beer (0.33 Liter Bottle), Markets"
French Polynesia,48.4,46.7,50.2,12.15,"Cigarettes (Pack of 20, Marlboro), Markets"
French Polynesia,48.4,46.7,50.2,16.83,"Chicken Fillets (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,5.27,"Apples (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,6.83,"Oranges (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,3,"Potatoes (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,3.9,"Lettuce (1 Head), Markets"
French Polynesia,48.4,46.7,50.2,4.07,"Cappuccino (Regular Size), Restaurants"
French Polynesia,48.4,46.7,50.2,1.71,"White Rice (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,7.86,"Tomatoes (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,2.44,"Bananas (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,2.68,"Onions (1 kg), Markets"
French Polynesia,48.4,46.7,50.2,27.32,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Bahamas,47.6,39.1,55.1,30,"Meal at an Inexpensive Restaurant, Restaurants"
Bahamas,47.6,39.1,55.1,150,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Bahamas,47.6,39.1,55.1,12,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Bahamas,47.6,39.1,55.1,5,"Domestic Draft Beer (0.5 Liter), Restaurants"
Bahamas,47.6,39.1,55.1,8,"Imported Beer (0.33 Liter Bottle), Restaurants"
Bahamas,47.6,39.1,55.1,2.9,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Bahamas,47.6,39.1,55.1,1.78,"Bottled Water (0.33 Liter), Restaurants"
Bahamas,47.6,39.1,55.1,4.21,"Milk (Regular, 1 Liter), Markets"
Bahamas,47.6,39.1,55.1,5.11,"Fresh White Bread (500 g Loaf), Markets"
Bahamas,47.6,39.1,55.1,8.36,"Eggs (12, Large Size), Markets"
Bahamas,47.6,39.1,55.1,9.95,"Local Cheese (1 kg), Markets"
Bahamas,47.6,39.1,55.1,2.92,"Bottled Water (1.5 Liter), Markets"
Bahamas,47.6,39.1,55.1,30,"Bottle of Wine (Mid-Range), Markets"
Bahamas,47.6,39.1,55.1,4.45,"Domestic Beer (0.5 Liter Bottle), Markets"
Bahamas,47.6,39.1,55.1,4,"Imported Beer (0.33 Liter Bottle), Markets"
Bahamas,47.6,39.1,55.1,15,"Cigarettes (Pack of 20, Marlboro), Markets"
Bahamas,47.6,39.1,55.1,12.45,"Chicken Fillets (1 kg), Markets"
Bahamas,47.6,39.1,55.1,6.82,"Apples (1 kg), Markets"
Bahamas,47.6,39.1,55.1,5.11,"Oranges (1 kg), Markets"
Bahamas,47.6,39.1,55.1,4.47,"Potatoes (1 kg), Markets"
Bahamas,47.6,39.1,55.1,3.72,"Lettuce (1 Head), Markets"
Bahamas,47.6,39.1,55.1,5.65,"Cappuccino (Regular Size), Restaurants"
Bahamas,47.6,39.1,55.1,5.71,"White Rice (1 kg), Markets"
Bahamas,47.6,39.1,55.1,8.94,"Tomatoes (1 kg), Markets"
Bahamas,47.6,39.1,55.1,3.89,"Bananas (1 kg), Markets"
Bahamas,47.6,39.1,55.1,4.03,"Onions (1 kg), Markets"
Bahamas,47.6,39.1,55.1,17.56,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,12.5,"Meal at an Inexpensive Restaurant, Restaurants"
Marshall Islands,47.3,38.4,56.4,30,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Marshall Islands,47.3,38.4,56.4,10.5,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Marshall Islands,47.3,38.4,56.4,4.5,"Domestic Draft Beer (0.5 Liter), Restaurants"
Marshall Islands,47.3,38.4,56.4,5,"Imported Beer (0.33 Liter Bottle), Restaurants"
Marshall Islands,47.3,38.4,56.4,1.83,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Marshall Islands,47.3,38.4,56.4,2.33,"Bottled Water (0.33 Liter), Restaurants"
Marshall Islands,47.3,38.4,56.4,2.25,"Milk (Regular, 1 Liter), Markets"
Marshall Islands,47.3,38.4,56.4,3.4,"Fresh White Bread (500 g Loaf), Markets"
Marshall Islands,47.3,38.4,56.4,4.04,"Eggs (12, Large Size), Markets"
Marshall Islands,47.3,38.4,56.4,29.14,"Local Cheese (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,1.52,"Bottled Water (1.5 Liter), Markets"
Marshall Islands,47.3,38.4,56.4,10,"Bottle of Wine (Mid-Range), Markets"
Marshall Islands,47.3,38.4,56.4,2.17,"Imported Beer (0.33 Liter Bottle), Markets"
Marshall Islands,47.3,38.4,56.4,11,"Chicken Fillets (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,4.39,"Apples (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,8.71,"Oranges (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,5.27,"Potatoes (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,3.92,"Lettuce (1 Head), Markets"
Marshall Islands,47.3,38.4,56.4,4.06,"Cappuccino (Regular Size), Restaurants"
Marshall Islands,47.3,38.4,56.4,1.8,"White Rice (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,12.76,"Tomatoes (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,7.25,"Bananas (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,5.5,"Onions (1 kg), Markets"
Marshall Islands,47.3,38.4,56.4,18.28,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Kiribati,46.2,35.8,55.5,4.99,"Meal at an Inexpensive Restaurant, Restaurants"
Kiribati,46.2,35.8,55.5,26.43,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Kiribati,46.2,35.8,55.5,9.91,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Kiribati,46.2,35.8,55.5,3.57,"Domestic Draft Beer (0.5 Liter), Restaurants"
Kiribati,46.2,35.8,55.5,5.95,"Imported Beer (0.33 Liter Bottle), Restaurants"
Kiribati,46.2,35.8,55.5,0.99,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Kiribati,46.2,35.8,55.5,0.73,"Bottled Water (0.33 Liter), Restaurants"
Kiribati,46.2,35.8,55.5,2.18,"Milk (Regular, 1 Liter), Markets"
Kiribati,46.2,35.8,55.5,1.92,"Fresh White Bread (500 g Loaf), Markets"
Kiribati,46.2,35.8,55.5,6.34,"Eggs (12, Large Size), Markets"
Kiribati,46.2,35.8,55.5,16.52,"Local Cheese (1 kg), Markets"
Kiribati,46.2,35.8,55.5,0.35,"Bottled Water (1.5 Liter), Markets"
Kiribati,46.2,35.8,55.5,12.56,"Bottle of Wine (Mid-Range), Markets"
Kiribati,46.2,35.8,55.5,1.65,"Domestic Beer (0.5 Liter Bottle), Markets"
Kiribati,46.2,35.8,55.5,3.3,"Imported Beer (0.33 Liter Bottle), Markets"
Kiribati,46.2,35.8,55.5,5.95,"Cigarettes (Pack of 20, Marlboro), Markets"
Kiribati,46.2,35.8,55.5,5.62,"Chicken Fillets (1 kg), Markets"
Kiribati,46.2,35.8,55.5,6.41,"Apples (1 kg), Markets"
Kiribati,46.2,35.8,55.5,6.24,"Oranges (1 kg), Markets"
Kiribati,46.2,35.8,55.5,4.49,"Potatoes (1 kg), Markets"
Kiribati,46.2,35.8,55.5,3.35,"Lettuce (1 Head), Markets"
Kiribati,46.2,35.8,55.5,2.97,"Cappuccino (Regular Size), Restaurants"
Kiribati,46.2,35.8,55.5,1.39,"White Rice (1 kg), Markets"
Kiribati,46.2,35.8,55.5,5.76,"Tomatoes (1 kg), Markets"
Kiribati,46.2,35.8,55.5,3.3,"Bananas (1 kg), Markets"
Kiribati,46.2,35.8,55.5,3,"Onions (1 kg), Markets"
Kiribati,46.2,35.8,55.5,18.5,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Micronesia,45.6,37,54.1,30,"Meal at an Inexpensive Restaurant, Restaurants"
Micronesia,45.6,37,54.1,45,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Micronesia,45.6,37,54.1,6.75,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Micronesia,45.6,37,54.1,1,"Domestic Draft Beer (0.5 Liter), Restaurants"
Micronesia,45.6,37,54.1,2.5,"Imported Beer (0.33 Liter Bottle), Restaurants"
Micronesia,45.6,37,54.1,1.47,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Micronesia,45.6,37,54.1,3,"Bottled Water (0.33 Liter), Restaurants"
Micronesia,45.6,37,54.1,0.24,"Milk (Regular, 1 Liter), Markets"
Micronesia,45.6,37,54.1,3.06,"Fresh White Bread (500 g Loaf), Markets"
Micronesia,45.6,37,54.1,7.25,"Eggs (12, Large Size), Markets"
Micronesia,45.6,37,54.1,6.42,"Local Cheese (1 kg), Markets"
Micronesia,45.6,37,54.1,1.37,"Bottled Water (1.5 Liter), Markets"
Micronesia,45.6,37,54.1,4.88,"Bottle of Wine (Mid-Range), Markets"
Micronesia,45.6,37,54.1,2.61,"Domestic Beer (0.5 Liter Bottle), Markets"
Micronesia,45.6,37,54.1,2.8,"Imported Beer (0.33 Liter Bottle), Markets"
Micronesia,45.6,37,54.1,13.5,"Cigarettes (Pack of 20, Marlboro), Markets"
Micronesia,45.6,37,54.1,4.8,"Chicken Fillets (1 kg), Markets"
